id,location_id,forecast_date,the_temp,wind_speed,precipitation
1,1,2025-04-12,6.0,4.8,1.56
2,1,2025-04-13,3.1,5.4,0.13
3,1,2025-04-14,9.1,2.6,0.0
4,1,2025-04-15,10.5,2.7,0.0
5,1,2025-04-16,11.9,4.9,0.0
6,1,2025-04-17,6.3,4.4,0.0
7,1,2025-04-18,9.0,2.8,0.0
8,1,2025-04-19,12.5,4.9,0.0
9,2,2025-04-12,12.7,1.3,0.0
10,2,2025-04-13,12.4,3.2,0.14
11,2,2025-04-14,9.6,2.2,0.0
12,2,2025-04-15,10.1,1.4,0.0
13,2,2025-04-16,10.5,2.9,0.91
14,2,2025-04-17,8.9,4.6,0.36
15,2,2025-04-18,7.9,2.2,0.0
16,2,2025-04-19,11.7,2.0,0.0
17,3,2025-04-12,15.7,3.0,0.0
18,3,2025-04-13,12.2,2.4,0.0
19,3,2025-04-14,16.7,1.4,0.0
20,3,2025-04-15,16.2,5.5,0.9
21,3,2025-04-16,14.0,1.7,0.0
22,3,2025-04-17,15.4,0.7,0.0
23,3,2025-04-18,18.4,0.8,0.0
24,3,2025-04-19,20.3,2.1,0.0
